Tank Type	Tank Facility ID	Tank Owner ID	Tank Number	Install Date	Tank Status	Foundation Type Concrete Coating/RPB	Foundation Type Concrete	Foundation Type Steel/Saddle/Runner/Beam	Foundation Type Earthen	Foundation Type Ring Wall	Foundation Type Unknown	Foundation Type Other	Foundation Type Other Specify	Roof Type N/A Horizontal Tank	Roof Type Floating	Roof Type Fixed Cone-Welded/Bolted	Roof Type Other	Roof Type Other Specify						
AST	1006248	27354	RAST08		CURR IN USE	N	Y	N	N	N	N	N		N	N	N	N							
AST	1006689	44654	1	3/1/2007	CURR IN USE	N	N	Y	N	N	N	N		N	N	N	N							
AST	1006706	33826	201skid	3/18/2005	CURR IN USE	N	N	Y	Y	N	N	N		N	N	N	Y	Horizontal						
AST	1006706	43864	2skid	4/27/2007	CURR IN USE	N	N	Y	N	N	N	Y	Treated Wood Stand	N	N	N	Y	Horizontal						
AST	1006800	47796	3	7/1/1996	CURR IN USE	N	N	N	N	N	N	Y	Asphalt	N	N	N	Y	None						
AST	1006954	27341	1	1/25/1996	CURR IN USE	N	Y	N	N	N	N	N		N	N	N	N							
AST	1007071	31407	D1	4/22/1984	DISMANTLED	N	N	N	N	N	N	N		N	N	N	N							
AST	1007115	36439	1		CURR IN USE	Y	N	N	N	N	N	N		N	N	N	N							
AST	1007141	34772	1	6/16/2003	CURR IN USE	N	N	Y	N	N	N	N		Y	N	N	N							
AST	1007180	31590	1	11/2/1993	CURR IN USE	Y	N	N	N	N	N	N		N	N	N	N							
AST	1007195	28393	1	6/1/1962	PERM OUT OF USE	N	N	N	N	N	N	Y		N	N	N	N							
AST	1007195	28393	2	6/1/1962	PERM OUT OF USE	N	N	N	N	N	N	Y		N	N	N	N							
AST	1007195	28393	4	6/1/1962	PERM OUT OF USE	Y	N	N	N	N	N	N		N	N	N	N							
AST	1007195	28393	5	6/1/1962	PERM OUT OF USE	Y	N	N	N	N	N	N		N	N	N	N							
AST	1007195	48098	3	6/1/1962	CURR IN USE	N	Y	N	N	N	N	N		N	N	N	Y	None - Horizontal Tank						
AST	1007195	48098	6		CURR IN USE	N	Y	N	N	N	N	N		N	N	N	Y	None - Horizontal Tank						
AST	1007242	43414	2-1	4/15/1973	CURR IN USE	N	Y	N	N	N	N	N		Y	N	N	N							
AST	1007242	43414	2-E	10/18/1999	CURR IN USE	N	N	N	N	N	N	Y	Asphalt	Y	N	N	N							
AST	1007248	29364	1	3/1/2004	CURR IN USE	N	N	Y	N	N	N	N		N	N	N	N							
AST	1007261	33557	3	4/25/1968	PERM OUT OF USE	N	N	N	N	N	N	N		N	N	N	N							
AST	1007598	47932	1port		CURR IN USE	N	Y	N	N	N	N	N		N	N	N	Y	Horizontal Tank						
AST	1007736	41107	1		CURR IN USE	N	Y	N	N	N	N	N		N	N	N	Y							
AST	1007825	27642	110	8/18/1993	CURR IN USE	N	N	Y	N	N	N	N		N	N	N	N							
AST	1007825	27642	111	8/18/1993	CURR IN USE	N	N	Y	N	N	N	N		N	N	N	N							
AST	1007832	27642	1	4/22/1977	CURR IN USE	N	N	N	N	N	N	N		N	N	N	N							
